iter	RMSE
0	1.143417913
1	0.9773796516
2	0.8622126084
3	0.7846025501
4	0.7362600608
5	0.6918628057
6	0.6643974574
7	0.6456971171
8	0.6273900629
9	0.6104334055
10	0.6009073877
11	0.588036915
12	0.5799458788
13	0.5714402692
14	0.5651241705
15	0.5601779061
16	0.5540484076
17	0.5481011951
18	0.5393374937
19	0.5324882578
20	0.5278417496
21	0.5247499877
22	0.5210318155
23	0.5172365292
24	0.5137784028
25	0.5050414488
26	0.5005425451
27	0.4921885541
28	0.4888576389
29	0.4840810827
30	0.4795750706
31	0.4752125607
32	0.471346588
33	0.4659585035
34	0.4611301313
35	0.4535207421
36	0.4467373455
37	0.443807278
38	0.4409949574
39	0.4382128004
40	0.4341995222
41	0.4304975065
42	0.4264490712
43	0.4205481821
44	0.4173370338
45	0.4129523182
46	0.4101132691
47	0.406281589
48	0.4034634384
49	0.4014770661
50	0.3978209507
51	0.3918226524
52	0.3887661066
53	0.3855106134
54	0.3814496377
55	0.3790600498
56	0.3766327766
57	0.3739330122
58	0.3693220849
59	0.3663125867
60	0.3640567839
61	0.3626522249
62	0.3601124113
63	0.3570721899
64	0.3549116814
65	0.3505670039
66	0.3478765062
67	0.3449633086
68	0.3425152005
69	0.3390948757
70	0.3361817317
71	0.3328874446
72	0.330486964
73	0.3280773636
74	0.3248111962
75	0.3230966145
76	0.3209241255
77	0.3189261043
78	0.3154894532
79	0.3127421831
80	0.3101223697
81	0.3090736602
82	0.3066240716
83	0.3050389169
84	0.3034457643
85	0.3009935107
86	0.2987704836
87	0.2960721335
88	0.2924325562
89	0.2904127142
90	0.288534305
91	0.2861039092
92	0.2844818023
93	0.2829157755
94	0.2816197669
95	0.2801233795
96	0.2790645564
97	0.2769425672
98	0.2760803402
99	0.274202636
100	0.2721035919
101	0.2694444708
102	0.2685088744
103	0.2661964759
104	0.2641492752
105	0.262796697
106	0.2596781151
107	0.2577878679
108	0.2565181679
109	0.2549797956
110	0.2535430883
111	0.2513731943
112	0.248949151
113	0.2476952517
114	0.2467153496
115	0.2455503045
116	0.2432717595
117	0.242402732
118	0.2410848481
119	0.239312227
120	0.2368201135
121	0.2345537014
122	0.2332347502
123	0.2314851888
124	0.2298965053
125	0.2283605563
126	0.2273779278
127	0.2258295179
128	0.2249795169
129	0.2242563461
130	0.2227280901
131	0.2214567007
132	0.2202559236
133	0.2190971228
134	0.2170371182
135	0.2162880838
136	0.215165377
137	0.2141848226
138	0.2126921564
139	0.2116737985
140	0.2110770687
141	0.2095268866
142	0.2078713118
143	0.2062552375
144	0.2052325849
145	0.2043208736
146	0.2029517404
147	0.2008172975
148	0.1996354569
149	0.19864809
150	0.1973958861
151	0.1955650825
152	0.1943973606
153	0.1928591251
154	0.19131448
155	0.1903072666
156	0.1889873969
157	0.18725162
158	0.1854211263
159	0.1842678146
160	0.1833518355
161	0.1819982079
162	0.1812128203
163	0.1803186658
164	0.1792978943
165	0.17856146
166	0.177463044
167	0.1766795822
168	0.1751424562
169	0.1745650809
170	0.1733211858
171	0.1726653747
172	0.171836879
173	0.1709173663
174	0.1699276335
175	0.1690672526
176	0.1682175754
177	0.167451176
178	0.1669213384
179	0.1661154143
180	0.1650595645
181	0.1641310405
182	0.1633077689
183	0.1622751073
184	0.1615137356
185	0.1606539728
186	0.1595762992
187	0.1588270279
188	0.1576323082
189	0.1569555107
190	0.1562085803
191	0.1552225177
192	0.1544103244
193	0.1534660524
194	0.1530015882
195	0.1523474883
196	0.1514411451
197	0.1501616114
198	0.1496891485
199	0.1487433138
