iter	Passed	Remaining
0	26	5306
1	46	4633
2	66	4372
3	86	4221
4	105	4103
5	125	4041
6	145	4021
7	165	3967
8	185	3927
9	206	3926
10	226	3896
11	246	3854
12	265	3812
13	284	3783
14	304	3752
15	322	3713
16	343	3695
17	362	3670
18	383	3650
19	402	3626
20	422	3603
21	441	3575
22	462	3561
23	483	3542
24	505	3541
25	526	3524
26	547	3509
27	570	3502
28	591	3490
29	612	3472
30	633	3455
31	653	3429
32	673	3409
33	693	3385
34	712	3360
35	732	3335
36	752	3313
37	771	3288
38	791	3268
39	811	3244
40	830	3220
41	849	3195
42	869	3172
43	889	3153
44	909	3131
45	928	3108
46	948	3086
47	968	3067
48	989	3049
49	1009	3029
50	1030	3009
51	1051	2992
52	1072	2975
53	1094	2959
54	1118	2947
55	1138	2926
56	1158	2905
57	1179	2888
58	1201	2871
59	1222	2852
60	1242	2830
61	1264	2813
62	1284	2792
63	1304	2773
64	1324	2750
65	1345	2731
66	1366	2711
67	1387	2692
68	1407	2672
69	1428	2653
70	1448	2631
71	1469	2611
72	1488	2590
73	1508	2569
74	1528	2548
75	1551	2531
76	1573	2513
77	1595	2495
78	1620	2481
79	1639	2459
80	1659	2437
81	1678	2415
82	1699	2395
83	1719	2373
84	1737	2351
85	1757	2329
86	1777	2308
87	1797	2287
88	1817	2266
89	1835	2243
90	1855	2222
91	1874	2200
92	1893	2178
93	1913	2157
94	1933	2136
95	1952	2115
96	1972	2094
97	1991	2072
98	2011	2051
99	2031	2031
100	2051	2011
101	2071	1989
102	2090	1968
103	2109	1947
104	2128	1926
105	2149	1905
106	2168	1885
107	2188	1864
108	2209	1844
109	2228	1823
110	2248	1803
111	2268	1782
112	2287	1761
113	2306	1740
114	2327	1719
115	2347	1700
116	2368	1680
117	2388	1660
118	2409	1639
119	2431	1620
120	2451	1600
121	2472	1580
122	2493	1561
123	2513	1540
124	2534	1520
125	2556	1501
126	2577	1481
127	2598	1461
128	2619	1441
129	2638	1420
130	2658	1400
131	2679	1380
132	2698	1359
133	2718	1338
134	2737	1318
135	2757	1297
136	2777	1277
137	2797	1256
138	2816	1236
139	2837	1215
140	2857	1195
141	2878	1175
142	2899	1155
143	2920	1135
144	2941	1115
145	2961	1095
146	2984	1075
147	3004	1055
148	3025	1035
149	3046	1015
150	3069	996
151	3092	976
152	3113	956
153	3134	936
154	3155	915
155	3175	895
156	3196	875
157	3216	855
158	3237	834
159	3258	814
160	3279	794
161	3299	773
162	3320	753
163	3340	733
164	3360	712
165	3380	692
166	3401	672
167	3421	651
168	3441	631
169	3463	611
170	3483	590
171	3504	570
172	3523	549
173	3543	529
174	3564	509
175	3586	489
176	3610	469
177	3630	448
178	3649	428
179	3669	407
180	3688	387
181	3708	366
182	3727	346
183	3747	325
184	3767	305
185	3788	285
186	3808	264
187	3826	244
188	3845	223
189	3866	203
190	3886	183
191	3906	162
192	3925	142
193	3945	122
194	3965	101
195	3985	81
196	4005	60
197	4025	40
198	4045	20
199	4064	0
